discipline_title,event_title,slug_game,medal_type,country_name,value_unit
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Hungary,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Japan,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Russian Federation,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Italy,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Belgium,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Denmark,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Canada,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,New Zealand,00:07:13.660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,Austria,00:07:13.660
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,Australia,00:03:33.150
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,Netherlands,00:03:33.790
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,United States of America,00:03:34.240
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,People's Republic of China,00:03:36.750
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Great Britain,00:03:37.020
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Denmark,00:03:37.450
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Japan,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Sweden,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Germany,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Russian Federation,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Canada,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Italy,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Belarus,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,New Zealand,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Hungary,00:03:37.960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Greece,00:03:37.960
Athletics,Women's 4 x 100m Relay,london-2012,GOLD,United States of America,00:00:40.820
