Race_id,discipline_title,event_title,slug_game,medal_type,country_name,value_unit
1277,Athletics,Women's 4 x 400m Relay,london-2012,SILVER,Jamaica,03:21.0
1278,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Ukraine,03:23.6
1279,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Great Britain,03:24.8
1280,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,France,03:25.9
1281,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Czech Republic,03:27.8
1282,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Nigeria,03:27.8
1283,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Russian Federation,03:27.8
1284,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Turkey,03:27.8
1285,Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Belarus,03:27.8
1286,Athletics,Women's 4 x 100m Relay,beijing-2008,GOLD,Belgium,00:42.5
1287,Athletics,Women's 4 x 100m Relay,beijing-2008,SILVER,Nigeria,00:43.0
1288,Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,Brazil,00:43.1
