Team_id,discipline_title,event_title,slug_game,country_name
1206,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,People's Republic of China
1207,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Italy
1208,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Japan
1209,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Hungary
1210,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,New Zealand
1211,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Germany
1212,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Slovenia
1213,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Poland
1214,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Spain
1215,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Russian Federation
1216,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,Ukraine
1217,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,United States of America
1218,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,France
1219,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,People's Republic of China
1220,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Germany
1221,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Australia
1222,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Great Britain
1223,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,South Africa
1224,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Hungary
1225,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Japan
1226,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Russian Federation
1227,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Italy
1228,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Belgium
1229,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Denmark
1230,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Canada
1231,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,New Zealand
1232,Swimming,Men's 4 x 200m Freestyle Relay,london-2012,Austria
1233,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Australia
1234,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Netherlands
1235,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,United States of America
1236,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,People's Republic of China
1237,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Great Britain
1238,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Denmark
1239,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Japan
1240,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Sweden
1241,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Germany
1242,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Russian Federation
